index	secret
737	I NEED TO BE ALONE FOR AT LEAST 5 HOURS A DAY.
738	I never finished the great gatsby
739	I never take my toiletries out of my bag at the TSA checkpoint.
740	I NEVER THOUGHT I'D LIVE TO THIS AGE
741	I often consider suicide
742	I once burned myself accidentally with a foot warmer
743	I once gently kissed my cat.
744	I once had to wipe with a block of styrofoam because there was no toilet paper.
745	I once invented a story about my first kiss it wasnt true at all!
746	i once projectile vomited on my way to work
747	I once put a pumpkin seed in my ear and it was stuck in there for 7 years
748	I once put Jake Appelbaum in a headlock. No regrets.
749	i once seduced a girl on the subway 
750	i once sucked on my ex best friends tits and then a few minutes later she threw up.
751	i peed in my fish tank
752	I peed in my moms bathtub
753	i peed my bed until i was 13.
754	I peed on my dad's toothbrush as revenge after we got into an argument and he hit me.
755	i piss in the car
756	i pooped in a tupperware
757	I regularly hack electronic voting machines
758	i slept with my friends long time crush. we never told her
759	i slept with a guy covered in red hot chilli pepper tattoos
760	i slept with my brothers ex girlfriend
761	i slept with my cousin
762	I smoke banana peels
763	I snuck in here tonight
764	i sold my soul to satan and im not even famous yet OR RELIGIOUS 
765	I sometimes wonder how differently I would have turned out if I didn't have such an anxious mother
766	i stole a condom from my hostparents
767	i stole gushers from cvs
768	i stole undies once
769	i sucked dick in the closet at my job
770	i sucked my principals dick so that i would avoid expulsion
771	I TELL PEOPLE THAT MY BROTHER SEXUALLY ABUSED ME BUT I THINK IT WAS ME THAT HURT HIM
772	i think im gorgeous
773	I think my uncle is gay
774	I told my aunt that her ugly baby was cute
775	I TOOK A SECRET AND BROKE IT AND REBUILT IT AND THEN SENT IT TO A MASSIVE AUDIENCE AND CREATED A SCANDAL AND THEN THE DONALD WAS ELECTED
776	I took an ativan about an hour ago
777	i want to have a threesome
778	I want to suck several of my professors' penises
779	i was raped but i consider mself a virgin
780	I wish I was actually as smart as I seem.
781	I wish I were someone else
782	I'm a furry
783	I'm a sex addict
784	I'm a virgin
785	I'm actually ten years older than my boyfriend.
786	I'm afraid I will never be truly satisfied
787	I'm afraid I'll never be successful
788	I'm afraid of coming out because i don't want people to think of me as the gay asian
789	I'm afraid of spiders
790	I'm afraid of the future
791	i'm afraid to meet people because i don't think they'll like me
792	I'm aI'm afraid to come out to my roommate
793	i'm an emotional wreck
794	i'm attracted to cats
795	i'm bi.
796	i co-run an infamous drug cartel in southern california
797	i'm conservative.
798	I'm gay but think I'm liking girls again. A little. But am afraid to try and come out again cause everyone knows I'm gay.
799	i'm having a lot of problems with things i thought i was okay with and now i dont know how to handle it. i also keep taking all the tea from my school's dining hall because i pay too much to not at least take all the tea i can
800	I'm in love with a stripper
801	I'm in love with my best friend
802	I'm just here to get laid
803	I'm kind of in love with a jerk
804	I'm nervous that you're overwhelmed right now
805	I'M NOT A REAL PERSON LOL
806	i'm not as chill as people think
807	I'M NOT SURE HUMANITY IS WORTH PRESERVING
808	I'm not sure if I like myself
809	I'm pregnant.
810	I'm questioning my sexuality
811	i'm scared i already met the person i'm going to marry but i don't want to marry him
812	i'm scared of fires
813	I'm scared of love
814	I'm scared that nothing will ever be enough.
815	I'm scared to be alone
816	i'm scared!!
817	I'm secretly attracted to girls
818	i'm selfish
819	I'm so afraid that I'm going to fall out of love with my girlfriend
820	I'M TERRIBLE WITH MY SAVINGS
821	i'm terrified of the wind.
822	I'm too embarrassed to say I don't know what a grapefruit looks like
823	I've been a slut this past year. No gift for me this christmas
824	I've never actually liked any of my boyfriends
825	I never blinked in my adolescent life because I was scared of the dark.
826	I've never read The Great Gatsby
827	i've pooped in the street
828	I've pooped my pants a couple of times past the age of 10
829	I've seen God
830	I've shoplifted gum before
831	I'm afraid of heights
832	i'm afraid of love
833	I'd rather be at home watching netflix
834	i'm a cheater
835	i'm a christian
836	I'M A PROSITUTE
837	i'm a virgin
838	i'm afraid i'll never amount to anything
839	i'm afraid of dying alone and that no one will care about me when im gone 
840	i'm afraid of my full potential
841	i'm afraid of sex
842	i'm afraird of my life decisons
843	i'm deathly afraid of pigeons
844	i'm emotinally unstable.
845	i'm hiding something
846	i'm in love with my girlfriend but she has horrrible taste in wine
847	I'm right behind you...
848	i'm scared im stressing myself out
849	i'm scared of being sad forever
850	i'm scared of growing up and dying
851	In middle grade i got bored for the last time so i put tear gas in the vent system. School had to be evacuated. 
852	Instead of loving mysef I've loved you, but my love has been displaced. And my love is now Jeb Bush. 
853	Instead of loving you I resorted to loathing you. And I didn't love you. I thought I wasn't wrong but it was so right. In a dark wood I murdered the only one I loved. 18 Pentahouse Road, colorado. On the 16th of March. Check under the oak tree scarred with our love from the depths of the night.
854	it has been said that danger may be permeated with the smell of chlorine
855	it is ok to die
856	i've been cheated on and pretended i don't know
857	JOE CHEATED ON HIS FIANCEE A BUNCH OF TIMES HE IS TRASH
858	Kaly is a thief
859	Last week I got lunch with a girl that was best friends with my partner of 5.5 years. The girl and I had a lovely time, and I told her I loved her. She smiled, told me I was sweet, and left for 4 months on an international adventure. I probably won't see her again.
860	licking doorknobs is illegal on other planets
861	Magic is real...
862	MY BEST FRIEND KISSED ME AND NOW HE WONT LET ME BE FRIENDS WITH OTHER GUYS. I DONT KNOW IF HE LOVES ME OR HATES ME BECAUSE HE DOESNT TALK TO ME ANYMORE. AND NOW I'M AFRAID I'M A POOR JUDGE OF CHARACTER
863	my boss is about to get fired
864	My boss's Ferarri is scratched - and he doesn't know it. Yet.
865	my brother is werid
866	my brother isn't my brother
867	My colleague and I are in love. We are both in committed relationships.
868	my ex tried t o strangle me. I did not report him. I fantasize about strangling him on a daily basis
869	my expo teacher is the hottest guy i've ever seen...yes i dream about him
870	My father was married before and I'm the only one who knows
871	my feet smell like garlic
872	my fetish is sitting on balloons
873	My girlfriend calles my penis Gerald
874	my girlfriend is the love of my life but sometimes i can't stand to be around her
875	my hometown has a population of 200. half of them are family.
876	my math teacher has calves the size of my head
877	my middle name is walsh
878	my mint alerts make me anxious
879	my mom gave me secret porn
880	My parents used to physically abuse me.
881	MY SISTER KEEPS TELLING ME THAT MY BESTFRIEND IS EMOTIONALLY ABUSING ME, BUT I JUST DONT WANT TO BELIEVE THAT'S TRUE
882	once I ate chocolates that I found in the garbage in the street. it was Marcolini macaroni (expensive ones) in front of his shop. the box was intact, that's why went for it. i gave it also to my friends. nobody knows about it, you are the first one.
883	One of my ears is different from the other. my dad does not know i am divorced
884	One time I fucked a homeless guy in the park and I didn't realize he was homeless until he said thanks for the ride and went to a tree and sat down
885	secrets aren't real
886	sometimes i do not feel like a human
887	sometimes i eat my roomates leftovers at night
888	Sometimes I feel like I'm living in a fake world
889	Sometimes I pretend not to see people I know when I pass them in public, because I don't know what to talk about. 
890	the body is under the garage
891	the shame of being a bystader makes me want to disappear
892	There's a bar of soap in my car console and I've been too lazy to take it out. It's been like... 8 months now.... or so... oops.
893	I know that you can see this. I know that you're watching me. I love you. I hate you. Intense.
894	There's no such thing as secrets
895	this doctor makes me nervous and yet happy
896	THIS IS SKETCHY DO I HAVE TO TELL YOU
897	I don't have any close friends, so this is the only way i can tell anyone how I really feel.
898	transvestites scare me
899	under my mattress is a turkey burg
900	virgin for life
901	what happens next and do i care
902	what if i'm not in love with my boyfriend?
903	When i say i love him its always a lie
904	when i was 15 i set gasoline on fire for fun on my driveway because i hated my town so much
905	When I was 17 I had sex in a hot tub with a guy whose last name i didn't know. 
906	When i was 5 my school director called me to her office for disciplinary action, i got angry at her and kicked her in the leg. She was a 94 year old holocaust survivor.
907	WHEN I WAS 5 YEARS OLD I WAS SEXUALLY ASSAULTED AND IT TOOK ME 16 YEARS TO TELL ANYONE ABOUT IT
908	When I was 6 years old, I stole a pack of Nerds from a grocery store. I told my sister and she told my parents.
909	When I was eight, I was left to take care of my great-grandmother. I was so mad that when she asked me to make her oatmeal, I did but I spit in it. About two weeks later she died, I was CONVINCED that I had killed her. 
910	when i was in third grade, a group of us saw the custodian (janitor) go into a supply closet and we shut the door on him and we held the door shut so he couldn't get out. so mean. it was about eight of us, all around 10 years old, holding the door closed. i felt guilty for a long time
911	why should i trust you
912	Yesterday my doctor laughed at me, but it was kind of sweet
913	you are a computer
914	ZEE shirt. Salmon tipped shoes. Black jeans. Black leather jacket. 4 rings. come up and kiss me. carpe diem
915	My name is not really Gabe
916	I'm basic and I like pumpkin spiced lattes.
917	I had sex with a friend while other friends were sleeping in the room. suddenly during a blowjob, one of them woke up and looked me in the eyes.
918	Grace kissed me on the cheek on the bus home from kindergarten
919	My heart belongs in Guatemala
920	I never wear short sleeves (never in my life) because of a birthmark that nobody knows i have.
921	I had sex in the shower today and it was amazing
922	I am a subject of the queen
923	I was a depressed child
924	I believe the world is ending
925	I don't know if i'll marry him
926	I have a crush on a married man
927	i love spirits
928	sometimes I wish I had a vagina
929	I failed kindergarten because i was thikning about the Titanic which had just been found. 1986.
930	I fantasize about fat men.
931	I am deeply in love with my closest co-worker
932	I'm in a relationship with my previous teacher
933	My mom's boyfriend molested me when I was 8
934	I wish I could fix everything
935	I wish I had a lover
936	I know your secrets
937	I love cheese
938	I am still in love with someone who toys around with me.
939	I PEE IN THE SHOWER
940	I'm scared I'll never make it to 25.
941	3 abortions.
942	I killed a man that I love
943	I wish I had friends
944	ANTS NEVER SLEEP
945	I got fired from my own start up.
946	We have rules for sleeping with other people but I bend them.
947	In my 30's, I was picked up by a woman, taken to her place by taxi, and I had sex with her. I am female. 
948	I am actually stupider than I appear. I am just good at memorizing names and fun-facts.
949	most of my teeth are fake.
950	I am afraid that my brother will kill himself
951	I FUCKED A PIG WHEN I WAS SEVEN
952	I fucked my dog every night from ages 11 to 22. He's better than most men
953	I really need to discover sex.
954	I AM NOT ME
955	I peed myself last week, I am 12
956	I think I have a special interest in hands! Crazy beautiful those little things
957	I'm rather confused about what life's about. It makes me cry sometimes
958	I occasionally hook up with my flatmate.
959	I often imagine my best friend while masturbating 
960	I FEEL LIKE A BLACK WOMAN IN A WHITE MAN
961	In my dreams I sometimes have sex with my sister. Once she had a dick.
962	On my way to an orgy
963	We invented VR Porn... 
964	I WATCHED 6 PORNOS AT ONE TIME TODAY.
965	My initial connectoin to the majority of my partners is based on superficial sexism.
966	I peed during my DJ set
967	I am lesbian. And I enjoy it!
968	SOMETIMES I THINK I WILL NEVER FALL IN LOVE AGAIN
969	ONCE I WAS FUCKING MY GRANDMA'S CAT AND SHE SAW ME
970	I USED TO IDENTIFY AS A GAY MAN.
