index	english	italian
369	i fucked my art teacher in high school	i fucked my art teacher in high school
370	One time, I ate 12 cupcakes in a sitting	One time, I ate 12 cupcakes in a sitting
371	I haven't been in love in 8 yeras and I'm not sure if I ever will be again	I haven't been in love in 8 yeras and I'm not sure if I ever will be again
372	I backed into a mailbox and dented my car... I told my mom that I had no idea what happened to it.	I backed into a mailbox and dented my car... I told my mom that I had no idea what happened to it.
373	i want more attention from men	i want more attention from men
374	i hide my depression from everyone in my life	i hide my depression from everyone in my life
375	I like bondage	I like bondage
376	I never had a home growing up.	I never had a home growing up.
377	I have several very disturbing fetishes.	I have several very disturbing fetishes.
378	I once unplugged a whole concert.	I once unplugged a whole concert.
379	im very insecure	im very insecure
380	My girlfriend calles my penis Gerald	My girlfriend calles my penis Gerald
381	I fell in love with someone else while dating the girl of my dreams.	I fell in love with someone else while dating the girl of my dreams.
382	my friends carry guns but my parents dont know that i hang out with gangsters	my friends carry guns but my parents dont know that i hang out with gangsters
383	I want a man in a suit	I want a man in a suit
384	i never learned how to roll a joint.	i never learned how to roll a joint.
385	i have herpes and im afraid to tell anyone	i have herpes and im afraid to tell anyone
386	i used to think being sad was romantic	i used to think being sad was romantic
387	i broke my moms necklace	i broke my moms necklace
388	i love richard nixon	i love richard nixon
389	im addicted to secrets	im addicted to secrets
390	I was a boy scout.	I was a boy scout.
391	About 60% of the time at work I just pretend to know what I'm doing	About 60% of the time at work I just pretend to know what I'm doing
392	I once paid $10,000 for a famous writer's digital files	I once paid $10,000 for a famous writer's digital files
393	I almost never feel totally comfortable	I almost never feel totally comfortable
394	lust  turns us into people we aren't	lust  turns us into people we aren't
395	Im afraid of dolls	Im afraid of dolls
396	My nationality is not actually Polish	My nationality is not actually Polish
397	my husband cheated on me with my younger sisiter	my husband cheated on me with my younger sisiter
398	i let someone believe i was raped, i dont know why	i let someone believe i was raped, i dont know why
399	I'm afriad my expectations are both too high and too low.	I'm afriad my expectations are both too high and too low.
400	i went to peru and had sex on a mountain with someone who was not my boyfriend	i went to peru and had sex on a mountain with someone who was not my boyfriend
401	ich hab mit vici geschlafen	ich hab mit vici geschlafen
402	i peed my pants last year. (i'm 24)	i peed my pants last year. (i'm 24)
403	I can't feel empathy	I can't feel empathy
404	sometimes im mean to people that i really like. then i feel bad. why am i mean?	sometimes im mean to people that i really like. then i feel bad. why am i mean?
405	sometimes i wish i had called the cops on my parents	sometimes i wish i had called the cops on my parents
406	im always anxious and it makes me really sad	im always anxious and it makes me really sad
407	I bit my little sister once	I bit my little sister once
408	I've performed on a sexcam	I've performed on a sexcam
409	im terrified that im emotionally unstable	im terrified that im emotionally unstable
410	When I was younger I thought that I could transport myself to a different universe	When I was younger I thought that I could transport myself to a different universe
411	My new therapist's name is John	My new therapist's name is John
412	Im afraid of my own mind	Im afraid of my own mind
413	I think my girlfriend secretly hates me	I think my girlfriend secretly hates me
414	I SEE DEAD PEOPLE	I SEE DEAD PEOPLE
415	i am homeless but my friends think I still have a home and that i have money.	i am homeless but my friends think I still have a home and that i have money.
416	i think my husband is a little gay	i think my husband is a little gay
417	I think I am a girl but I have not told anyone... Also I am always horny also I still like girls.	I think I am a girl but I have not told anyone... Also I am always horny also I still like girls.
418	when i feel sad or afriad, I EAT SO MUCH POPCORN AND CHEESE AND PIZZA AND CHOCOLATE	when i feel sad or afriad, I EAT SO MUCH POPCORN AND CHEESE AND PIZZA AND CHOCOLATE
419	I set fires to feel joy	I set fires to feel joy
420	Sometimes even when I know I have friends that care, I think that no one is there when I need them the most, especially at night.	Sometimes even when I know I have friends that care, I think that no one is there when I need them the most, especially at night.
421	I don't watch porn	I don't watch porn
422	i have a fish (dead) under my pillow	i have a fish (dead) under my pillow
423	I'm happy when others fail	I'm happy when others fail
424	I like the teasing more than the thing	I like the teasing more than the thing
425	my cat didn't get hit by a car, it got eaten by a wolf	my cat didn't get hit by a car, it got eaten by a wolf
426	Every time I watch a horror movie I sleep with a baseball bat	Every time I watch a horror movie I sleep with a baseball bat
427	i can't connect with people on a deep level	i can't connect with people on a deep level
428	i dont want to be what my parents want me to be, but i dont want to break their hearts	i dont want to be what my parents want me to be, but i dont want to break their hearts
429	Einmal habe ich meinen Onkel meinen Hintern berühren lassen. Es ging viel länger, als ich es erwartet hatte, aber ich glaube, ich war im Rückblick cool mit ihm. Mein Onkel ist ein guter Kerl, aber er hat seine Triebe manchmal nicht im Griff... zumindest ist das, was er mir erklärt hat. Es hat sich anfangs gut angefühlt, aber nach ca. 10 Minuten begann ich, es zu bereuen. Ich liebe meinen Onkel, aber ich denke, dass die Zeit war er nur ein liiiiiiitle zu weit.	Einmal habe ich meinen Onkel meinen Hintern berühren lassen. Es ging viel länger, als ich es erwartet hatte, aber ich glaube, ich war im Rückblick cool mit ihm. Mein Onkel ist ein guter Kerl, aber er hat seine Triebe manchmal nicht im Griff... zumindest ist das, was er mir erklärt hat. Es hat sich anfangs gut angefühlt, aber nach ca. 10 Minuten begann ich, es zu bereuen. Ich liebe meinen Onkel, aber ich denke, dass die Zeit war er nur ein liiiiiiitle zu weit.
430	i hate toenails	i hate toenails
431	I write erotic novels on tumblr	I write erotic novels on tumblr
432	I really think I need to be on antipsychotics	I really think I need to be on antipsychotics
433	When I'm mad at my mom, I shit in her toilet	When I'm mad at my mom, I shit in her toilet
434	i dont want to have a boyfriend again ever	i dont want to have a boyfriend again ever
435	I've slept with many married men, knowingly	I've slept with many married men, knowingly
436	I would quit my job in a heartbeat.	I would quit my job in a heartbeat.
437	i steal from work all the time	i steal from work all the time
438	im bisexual	im bisexual
439	i hate it when guys at art museums hit of me	i hate it when guys at art museums hit of me
440	I'm dating my boss	I'm dating my boss
441	when i was 7, i peed on myself in walmart and didnt tell anyone. i left a puddle	when i was 7, i peed on myself in walmart and didnt tell anyone. i left a puddle
442	my secrets are all boring	my secrets are all boring
443	I accidentally stole eyeliner from cvs	I accidentally stole eyeliner from cvs
444	I love my dog more than my little brothers	I love my dog more than my little brothers
445	I have three nipples	I have three nipples
446	in love with a married guy	in love with a married guy
447	i hate my fathers politics	i hate my fathers politics
448	i lie to my parents daily and dont feel bad	i lie to my parents daily and dont feel bad
449	I slept with my ex's best friend	I slept with my ex's best friend
450	when I was in high school, I hooked up with a coach at an ivy league school in order to get recruited. I didn't get in.	when I was in high school, I hooked up with a coach at an ivy league school in order to get recruited. I didn't get in.
451	im scared about this in my life and i just need courage	im scared about this in my life and i just need courage
452	My banking PIN is almost the same as the one my dad gave me when I was 10	My banking PIN is almost the same as the one my dad gave me when I was 10
453	i haven't showered in days	i haven't showered in days
454	I stole my co-worker's lunch	I stole my co-worker's lunch
455	I really want to quit my job	I really want to quit my job
456	i am so in love with everyone i meet	i am so in love with everyone i meet
457	I waste a lot of money whenever I feel my anxiety coming back.	I waste a lot of money whenever I feel my anxiety coming back.
458	I have bipolar disorder	I have bipolar disorder
459	i'm not sad he died	i'm not sad he died
460	I tried to kill myself	I tried to kill myself
461	im 25 and i still wet my bed at night	im 25 and i still wet my bed at night
462	I think Bernie Sanders is handsome	I think Bernie Sanders is handsome
463	I love Ken Burns	I love Ken Burns
464	i love robbery	i love robbery
465	I once accidentally cut off half of my eyebrow	I once accidentally cut off half of my eyebrow
466	i have a slight death wish	i have a slight death wish
467	im afraid of dying alone and being wealthy	im afraid of dying alone and being wealthy
468	i want to start over	i want to start over
469	i was a bully in middle school	i was a bully in middle school
470	i am right behind you, turn around	i am right behind you, turn around
471	My mom is the only person that i trust	My mom is the only person that i trust
472	I fear existentialism and the thought that nothing really matters	I fear existentialism and the thought that nothing really matters
473	Some people believe im dead	Some people believe im dead
474	I've been wearing the same bra for for about 2 weeks. Whoops	I've been wearing the same bra for for about 2 weeks. Whoops
475	I'm afraid of failure, so I procrastinate constantly	I'm afraid of failure, so I procrastinate constantly
476	i can't feel guilt	i can't feel guilt
477	I have a name for my boyfriend's penis; its Gerald.	I have a name for my boyfriend's penis; its Gerald.
478	I cheated on my bf once	I cheated on my bf once
479	I love the smell of gasoline in the morning	I love the smell of gasoline in the morning
480	i'm in love with someone who has a girlfiend	i'm in love with someone who has a girlfiend
481	i like trump but dont wanna tell my friends	i like trump but dont wanna tell my friends
482	I draw people in my head	I draw people in my head
483	I'm afraid my parents will die while I've moved away	I'm afraid my parents will die while I've moved away
484	I didn't know David Bowie existed until he died	I didn't know David Bowie existed until he died
485	I secretly wish to end it all	I secretly wish to end it all
486	both of my exes still talk to me everyday, wanting to get back together	both of my exes still talk to me everyday, wanting to get back together
487	I run an extremely successful horrifying fetish porn tumblr	I run an extremely successful horrifying fetish porn tumblr
488	i don't trust you machine.	i don't trust you machine.
489	I am afraid to be naked in front of my boyfriend	I am afraid to be naked in front of my boyfriend
490	please forgive me for lying to the unknown	please forgive me for lying to the unknown
491	at 23 i slept with a married colombian man while he was while his wife was pregnant with their first child. NO RERETS	at 23 i slept with a married colombian man while he was while his wife was pregnant with their first child. NO RERETS
492	One time in the parking lot of Panera I hit another person's car while trying to park and then I finished pulling into my spot and walked into Panera.	One time in the parking lot of Panera I hit another person's car while trying to park and then I finished pulling into my spot and walked into Panera.
493	i really regret not being honest during undergrad	i really regret not being honest during undergrad
494	when i was 15 i set gasoline on fire for fun on my driveway because i hated my town so much	when i was 15 i set gasoline on fire for fun on my driveway because i hated my town so much
495	I cheated on a second grade spelling test	I cheated on a second grade spelling test
496	i like animals more than humans	i like animals more than humans
497	ive stolen over $10,000 in merchandise and have never been caught	ive stolen over $10,000 in merchandise and have never been caught
498	would marry a kennedy for the networking	would marry a kennedy for the networking
499	A teacher in my high school had an affair with a student. Then countiuned to send him love letters about how she wanted to spend her life with him after the school got rid of her. It was wild	A teacher in my high school had an affair with a student. Then countiuned to send him love letters about how she wanted to spend her life with him after the school got rid of her. It was wild
500	Admit something: Everyone you see, you say to them, 'Love me.' Of course you do not do this out loud. otherwise someone would call the cops. Still though, think about this, this great pull in us to connect. Why not become the one who lives with a full moon in each eye, that is always saying--with that sweet moon language--what every other eye in this world is dying to hear. 	Admit something: Everyone you see, you say to them, 'Love me.' Of course you do not do this out loud. otherwise someone would call the cops. Still though, think about this, this great pull in us to connect. Why not become the one who lives with a full moon in each eye, that is always saying--with that sweet moon language--what every other eye in this world is dying to hear. 
501	afraid of cats	afraid of cats
502	I am the cause of all my family's stress.	I am the cause of all my family's stress.
504	ALBERT EINSTSTIEN IS A TOOTHBRUTH	ALBERT EINSTSTIEN IS A TOOTHBRUTH
504	all human hearts feel pain	all human hearts feel pain
505	be careful with that one; he will do what it takes to survive	be careful with that one; he will do what it takes to survive
506	Being sexually attracted to inanimate objects is alright, right? 	Being sexually attracted to inanimate objects is alright, right? 
508	benedict cumberbatch is a lizard person	benedict cumberbatch is a lizard person
508	butt stuff	butt stuff
509	cocaines a hell of a drug	cocaines a hell of a drug
510	cuddling is the best thing ever	cuddling is the best thing ever
511	don't tell anyone but this is bullshit	don't tell anyone but this is bullshit
512	Everone is staring at me and its quite the scene	Everone is staring at me and its quite the scene
513	every day i tell myself two things: i am a god, and i am bulletproof	every day i tell myself two things: i am a god, and i am bulletproof
514	Everyone is a little shady. But im hella shady	Everyone is a little shady. But im hella shady
515	everyone is lonely	everyone is lonely
516	ex had abortion	ex had abortion
517	Find me	Find me
518	god is not real. i am god and so are you	god is not real. i am god and so are you
519	Haven't shaved my legs in i dont even know how many weeks	Haven't shaved my legs in i dont even know how many weeks
520	her laugh is the metaphor ive been trying to write for years	her laugh is the metaphor ive been trying to write for years
521	honey mustard makes me hard	honey mustard makes me hard
522	humanism is obsolete	humanism is obsolete
523	I cheated on the S.A.T. writing section	I cheated on the S.A.T. writing section
524	i actually haven't read one of my most cited books in my thesis	i actually haven't read one of my most cited books in my thesis
525	i actually like paella fuck you	i actually like paella fuck you
526	i actually love the boy i'm here with. he doesn't know it yet	i actually love the boy i'm here with. he doesn't know it yet
527	I almost didn't graduate from high school because I missed so much school because I was severely depressed.	I almost didn't graduate from high school because I missed so much school because I was severely depressed.
528	I almost had a full on orgasm in politics class because a guy in a military unifrom set next to me	I almost had a full on orgasm in politics class because a guy in a military unifrom set next to me
529	i almost killed a little girl's puppy once.	i almost killed a little girl's puppy once.
530	I also love natural disasters	I also love natural disasters
531	I am a card-carrying member of the Illuminati.	I am a card-carrying member of the Illuminati.
532	i am a horrible person	i am a horrible person
533	I am a Pokemon Go character	I am a Pokemon Go character
534	I am a slight hypochondriac	I am a slight hypochondriac
535	i am a vegan, but sometimes I eat milk chocolate	i am a vegan, but sometimes I eat milk chocolate
536	i am a virgin	i am a virgin
537	I am a womanizer	I am a womanizer
538	I am about to start antidepressants to help me with my digestion 	I am about to start antidepressants to help me with my digestion 
539	I am actually a little boy	I am actually a little boy
540	I am actually afraid of commitmentt, but it feels nice	I am actually afraid of commitmentt, but it feels nice
541	I am afraid of balloons	I am afraid of balloons
542	i am afraid of being alone	i am afraid of being alone
543	I am afraid of dying	I am afraid of dying
544	i am afraid of lots thing in my life but i am afriad that people know it	i am afraid of lots thing in my life but i am afriad that people know it
545	I am afraid of spiders.	I am afraid of spiders.
546	i am afraid of the dark	i am afraid of the dark
547	I am afraid to be myself	I am afraid to be myself
548	I am allergic to cherries	I am allergic to cherries
549	i am antsy	i am antsy
550	i am anxious	i am anxious
551	i am attracted to malnourished art boys	i am attracted to malnourished art boys
552	i am completely and utterly broken on the inside	i am completely and utterly broken on the inside
553	i am gay and none of my friends knows about it . but i also enjoy girls once in a while.	i am gay and none of my friends knows about it . but i also enjoy girls once in a while.
554	i am in a love relationship with my former drug dealer.	i am in a love relationship with my former drug dealer.
555	I am in love wiht a much younger person	I am in love wiht a much younger person
556	i am in love with machines	i am in love with machines
557	I am in love with my best friends boyfriend	I am in love with my best friends boyfriend
558	I am jealous of Heloise because my french teacher loved her more than me	I am jealous of Heloise because my french teacher loved her more than me
559	I am like hella so scared of spiders	I am like hella so scared of spiders
560	i am mad that my friend has become a hooligan	i am mad that my friend has become a hooligan
561	I am not looking forward to the next 4 years	I am not looking forward to the next 4 years
562	I am not sure that I can describe the dream I had tonight to this machine. Makes me feel too guilty.	I am not sure that I can describe the dream I had tonight to this machine. Makes me feel too guilty.
563	I am not wearing any underwear	I am not wearing any underwear
564	i am obsessed with ru paul's drag race	i am obsessed with ru paul's drag race
565	I am only slightly transgressive	I am only slightly transgressive
566	i am overwhelmed	i am overwhelmed
567	I am really scared for the environment and feel somewhat helpless to save it. I feel anxiety over the state of our world. 	I am really scared for the environment and feel somewhat helpless to save it. I feel anxiety over the state of our world. 
568	I am retiring in less than 3 months	I am retiring in less than 3 months
569	I am scared for my family's future	I am scared for my family's future
570	i am scared of love	i am scared of love
571	I am scared of many of the people here	I am scared of many of the people here
572	i am scared of people	i am scared of people
573	I am so judgemental sometimes	I am so judgemental sometimes
574	I am sorry I was mean to you	I am sorry I was mean to you
575	i am still in love with my first love. we have reconnected. now 20 years later. but he is married with two kids. what now?	i am still in love with my first love. we have reconnected. now 20 years later. but he is married with two kids. what now?
576	I am the artist here typing this but no one knows that I made this	I am the artist here typing this but no one knows that I made this
577	I am the vanguard of the hand drumming movement	I am the vanguard of the hand drumming movement
578	i am turned on by my boyfriend's dad	i am turned on by my boyfriend's dad
579	i am worried about wifi everywhere	i am worried about wifi everywhere
580	i am worried that i will never be a good writer	i am worried that i will never be a good writer
581	I ate all the chocolate yesterday	I ate all the chocolate yesterday
582	i've being dreaming with my ex	i've being dreaming with my ex
583	I believe the government is always monitoring us and trying to sway our direction. Duh!	I believe the government is always monitoring us and trying to sway our direction. Duh!
584	I blew my best friend	I blew my best friend
585	i broke the machine about an hour ago	i broke the machine about an hour ago
586	I called my teacher mommy	I called my teacher mommy
587	i can only orgasm through foot play	i can only orgasm through foot play
588	I can see people who are walking behind me because I feel their energy	I can see people who are walking behind me because I feel their energy
589	i can't have kids	i can't have kids
590	i can't live without him	i can't live without him
591	i can't multiply	i can't multiply
592	i can't tell time	i can't tell time
593	I CARRY A LOT OF SHAME ABOUT THINGS THAT HAVE HAPPENED IN MY PAST.	I CARRY A LOT OF SHAME ABOUT THINGS THAT HAVE HAPPENED IN MY PAST.
594	i catfished 3 guy with pics of beyonce	i catfished 3 guy with pics of beyonce
595	i catfished my dad to see if he was gonna cheat on my mom. spoiler: he did.	i catfished my dad to see if he was gonna cheat on my mom. spoiler: he did.
596	I cheated	I cheated
597	I cheated on a test in high school physics	I cheated on a test in high school physics
598	i cheated on my ex boyfriend and i feel awful	i cheated on my ex boyfriend and i feel awful
599	I cheated on my wife	I cheated on my wife
600	I CHEATED ON SOMEONE I LOVED MOST.	I CHEATED ON SOMEONE I LOVED MOST.
601	i cheated on the SAT's	i cheated on the SAT's
602	i committed the cardinal sin of college	i committed the cardinal sin of college
603	I cut the hair off my my sister's barbie.	I cut the hair off my my sister's barbie.
604	I dealt hash in high school	I dealt hash in high school
605	I desperately want to kiss charlenee again	I desperately want to kiss charlenee again
606	i did a threesome	i did a threesome
607	I did not warn my brother that he was going to die.... and he died	I did not warn my brother that he was going to die.... and he died
608	I didn't love my ex	I didn't love my ex
609	I DIDN'T LOVE MYSELF UNTIL RECENTLY.	I DIDN'T LOVE MYSELF UNTIL RECENTLY.
610	I DIDN'T LOVE MY CHILDHOOD CAT	I DIDN'T LOVE MY CHILDHOOD CAT
611	i didn't like my ex-boyfriend	i didn't like my ex-boyfriend
612	I didn't really enjoy pulp fiction..	I didn't really enjoy pulp fiction..
613	i didn't shave my legs	i didn't shave my legs
614	i dislike myself	i dislike myself
615	i do anal on a biweekly basis	i do anal on a biweekly basis
616	i don't always follow the five second rule	i don't always follow the five second rule
617	i don't know how to clean	i don't know how to clean
618	I don't know how to love	I don't know how to love
619	i don't know what i'm doing.	i don't know what i'm doing.
620	i don't know what kind of socializing is appropriate. or maybe i do?	i don't know what kind of socializing is appropriate. or maybe i do?
621	I don't know who I love more	I don't know who I love more
622	I DON'T KNOW WHO TYRA BANKS IS.	I DON'T KNOW WHO TYRA BANKS IS.
623	I don't like humans.	I don't like humans.
624	i don't like most of the people i am friends with	i don't like most of the people i am friends with
625	I don't love my grandma	I don't love my grandma
626	I don't miss my ex	I don't miss my ex
627	I don't think I can handle being in a relationship	I don't think I can handle being in a relationship
628	i don't work nearly as much as i'm paid to	i don't work nearly as much as i'm paid to
629	I don't know how to properly tie my shoe laces	I don't know how to properly tie my shoe laces
630	I don't change my bed sheets on a regular basis.	I don't change my bed sheets on a regular basis.
631	i don't have a bra on	i don't have a bra on
632	i don't know what i want	i don't know what i want
633	i don't know what i want in life	i don't know what i want in life
634	i don't really like some of my friends	i don't really like some of my friends
635	i don't trust you machine.	i don't trust you machine.
636	I feel like I don't have my own personality nowadays.	I feel like I don't have my own personality nowadays.
637	I feel like I'll never find home	I feel like I'll never find home
638	 my secrets are not unique	 my secrets are not unique
639	I feel lost	I feel lost
640	I feel that I should like my brother more.	I feel that I should like my brother more.
641	i fell bad that im so judgemental	i fell bad that im so judgemental
642	i fucked in my school's auditorium	i fucked in my school's auditorium
643	i gave a boy a handjob in a tent when my brother and two friends were sleeping. we've been together for a year.	i gave a boy a handjob in a tent when my brother and two friends were sleeping. we've been together for a year.
644	I got pantsed in the sixth grade and cried.	I got pantsed in the sixth grade and cried.
645	I had a crush on colby watkins in fourth grade	I had a crush on colby watkins in fourth grade
646	I had a feministic threesome with my neighbors upstairs	I had a feministic threesome with my neighbors upstairs
647	I had sex on an airplane with a stranger 	I had sex on an airplane with a stranger 
648	I had sex with my high school buddy's older sister and he doesn't know it happened	I had sex with my high school buddy's older sister and he doesn't know it happened
649	i had sex with my roommates brother. yikes, right?	i had sex with my roommates brother. yikes, right?
650	I had sex with two people on valentines day	I had sex with two people on valentines day
651	I hate children	I hate children
652	i hate computers	i hate computers
653	i hate kissing	i hate kissing
654	i hate korean food	i hate korean food
655	i hate media people	i hate media people
656	i hate modern art	i hate modern art
657	i hate museums	i hate museums
658	i hate my friends	i hate my friends
659	i hate my friends and feel alone	i hate my friends and feel alone
660	i hate my grades	i hate my grades
661	i hate my mom	i hate my mom
662	I hate my mom right now; I love her but I hate her	I hate my mom right now; I love her but I hate her
663	I hate my mother	I hate my mother
664	i hate paella	i hate paella
665	I hate the color yellow	I hate the color yellow
666	I hate the movie Boyhood	I hate the movie Boyhood
667	i hate the person im in love with	i hate the person im in love with
668	I hate the saxophone	I hate the saxophone
669	i hate the word veggies	i hate the word veggies
670	I HAVE A CRUSH ON BEN PACKERD	I HAVE A CRUSH ON BEN PACKERD
671	i have a crush on my best friend	i have a crush on my best friend
672	I have a crush on my boss	I have a crush on my boss
673	I have a crush on Reed Allen	I have a crush on Reed Allen
674	I have a crush on the Belgian Girl	I have a crush on the Belgian Girl
675	I have a hairy ass	I have a hairy ass
676	i have a hard time pooping when the pressure is on	i have a hard time pooping when the pressure is on
677	i have a micropenis	i have a micropenis
678	i have a penis!!!!!!!!!!!!!!!!!!!!!!!	i have a penis!!!!!!!!!!!!!!!!!!!!!!!
679	I have a permanent itch on my ribcage that I have had for as long as I can remember, and I named my itch Henry	I have a permanent itch on my ribcage that I have had for as long as I can remember, and I named my itch Henry
680	I have a recurring dream that I am driving and the brakes don't work and I lose control of the car	I have a recurring dream that I am driving and the brakes don't work and I lose control of the car
681	i have a sixth toe	i have a sixth toe
682	I have a small dick	I have a small dick
683	I have a small penis	I have a small penis
684	I have a small, freckled penis	I have a small, freckled penis
685	i have a stalker and it freaks me out	i have a stalker and it freaks me out
686	i have no idea what i am doing with my life	i have no idea what i am doing with my life
687	I have cut myself before	I have cut myself before
688	I have faked every single one of my orgasms with my significant others	I have faked every single one of my orgasms with my significant others
689	i have had sex with more than 100 people	i have had sex with more than 100 people
690	I have lots of overdue fines at the library	I have lots of overdue fines at the library
691	i have loved a woman	i have loved a woman
692	I HAVE NEVER BEEN KISSED	I HAVE NEVER BEEN KISSED
693	I have never had an interesting sexual experiennce	I have never had an interesting sexual experiennce
694	I have never met a human being	I have never met a human being
695	i have secrets too dark to share here	i have secrets too dark to share here
696	i have sex dreams about the bachelor	i have sex dreams about the bachelor
697	I HAVE SO MUCH IMPOSTOR SYNDROME	I HAVE SO MUCH IMPOSTOR SYNDROME
698	i have trouble relating to my sister but i pretend not to	i have trouble relating to my sister but i pretend not to
699	I have two left feet.	I have two left feet.
700	I haven't fed my Neopets in years and honestly I don't care.	I haven't fed my Neopets in years and honestly I don't care.
701	I haven't worn matching socks in months	I haven't worn matching socks in months
702	I have psychic dreams	I have psychic dreams
703	I hooked up with my best friend	I hooked up with my best friend
704	I hope no one is watching	I hope no one is watching
705	I just met a boy here at the secrets station. I think I'm in love with him. I just hope he notices me and i really hope he asks for my number	I just met a boy here at the secrets station. I think I'm in love with him. I just hope he notices me and i really hope he asks for my number
706	I killed that dog	I killed that dog
707	I killed your best friends plant with a beer	I killed your best friends plant with a beer
708	I kind of hate one of my best friends	I kind of hate one of my best friends
709	I kind of have a crush on one of the employees here. I know him from school	I kind of have a crush on one of the employees here. I know him from school
710	i kind of like girls	i kind of like girls
711	I learned something life-changing at 4am last night.	I learned something life-changing at 4am last night.
712	I like feet	I like feet
713	I like the taste of apple cores	I like the taste of apple cores
714	I like to bruise fruit	I like to bruise fruit
715	I like to send post cards, but I also love to steal them	I like to send post cards, but I also love to steal them
716	I like to smell toes	I like to smell toes
717	i like voyeur porn	i like voyeur porn
718	i like watching gay movies	i like watching gay movies
719	i looked at my first porn site when i was 10 years old	i looked at my first porn site when i was 10 years old
720	I LOST MY MOTHER, I MISS HER VERY MUCH	I LOST MY MOTHER, I MISS HER VERY MUCH
721	i love cream cheese too much! cream cheese on everything!	i love cream cheese too much! cream cheese on everything!
722	I love girls	I love girls
723	i love jeb bush	i love jeb bush
724	i love jesus	i love jesus
725	I love my boyfriend but I want to sleep with other people.	I love my boyfriend but I want to sleep with other people.
726	I LOVE MY HUSBAND BUT I DON'T HAVE A HAPPY MARRIAGE.	I LOVE MY HUSBAND BUT I DON'T HAVE A HAPPY MARRIAGE.
727	i love my mom more than my dad	i love my mom more than my dad
728	i love natural disasters.	i love natural disasters.
729	i LOVE TO FUCK MY WIFE AND I WANT TO WATCH HER FUCK ANOTHER MAN	i LOVE TO FUCK MY WIFE AND I WANT TO WATCH HER FUCK ANOTHER MAN
730	i love you	i love you
731	I made a ton of money dealing drugs and did somethung wonderful with the money. 	I made a ton of money dealing drugs and did somethung wonderful with the money. 
732	i made my parents have pot brownies and they tripped balls	i made my parents have pot brownies and they tripped balls
733	i made out with a stranger on a bus in paris	i made out with a stranger on a bus in paris
734	I met my boyfriend on a muslim dating app and he's the best 	I met my boyfriend on a muslim dating app and he's the best 
735	i might be a little gay, but i'm not sure because i am not sure what my family would say. also i might be kinda asexual. i'm so confused	i might be a little gay, but i'm not sure because i am not sure what my family would say. also i might be kinda asexual. i'm so confused
736	I miss Bernie	I miss Bernie
737	I NEED TO BE ALONE FOR AT LEAST 5 HOURS A DAY.	I NEED TO BE ALONE FOR AT LEAST 5 HOURS A DAY.
738	I never finished the great gatsby	I never finished the great gatsby
739	I never take my toiletries out of my bag at the TSA checkpoint.	I never take my toiletries out of my bag at the TSA checkpoint.
740	I NEVER THOUGHT I'D LIVE TO THIS AGE	I NEVER THOUGHT I'D LIVE TO THIS AGE
741	I often consider suicide	I often consider suicide
742	I once burned myself accidentally with a foot warmer	I once burned myself accidentally with a foot warmer
743	I once gently kissed my cat.	I once gently kissed my cat.
744	I once had to wipe with a block of styrofoam because there was no toilet paper.	I once had to wipe with a block of styrofoam because there was no toilet paper.
745	I once invented a story about my first kiss it wasnt true at all!	I once invented a story about my first kiss it wasnt true at all!
746	i once projectile vomited on my way to work	i once projectile vomited on my way to work
747	I once put a pumpkin seed in my ear and it was stuck in there for 7 years	I once put a pumpkin seed in my ear and it was stuck in there for 7 years
748	I once put Jake Appelbaum in a headlock. No regrets.	I once put Jake Appelbaum in a headlock. No regrets.
749	i once seduced a girl on the subway 	i once seduced a girl on the subway 
750	i once sucked on my ex best friends tits and then a few minutes later she threw up.	i once sucked on my ex best friends tits and then a few minutes later she threw up.
751	i peed in my fish tank	i peed in my fish tank
752	I peed in my moms bathtub	I peed in my moms bathtub
753	i peed my bed until i was 13.	i peed my bed until i was 13.
754	I peed on my dad's toothbrush as revenge after we got into an argument and he hit me.	I peed on my dad's toothbrush as revenge after we got into an argument and he hit me.
755	i piss in the car	i piss in the car
756	i pooped in a tupperware	i pooped in a tupperware
757	I regularly hack electronic voting machines	I regularly hack electronic voting machines
758	i slept with my friends long time crush. we never told her	i slept with my friends long time crush. we never told her
759	i slept with a guy covered in red hot chilli pepper tattoos	i slept with a guy covered in red hot chilli pepper tattoos
760	i slept with my brothers ex girlfriend	i slept with my brothers ex girlfriend
761	i slept with my cousin	i slept with my cousin
762	I smoke banana peels	I smoke banana peels
763	I snuck in here tonight	I snuck in here tonight
764	i sold my soul to satan and im not even famous yet OR RELIGIOUS 	i sold my soul to satan and im not even famous yet OR RELIGIOUS 
765	I sometimes wonder how differently I would have turned out if I didn't have such an anxious mother	I sometimes wonder how differently I would have turned out if I didn't have such an anxious mother
766	i stole a condom from my hostparents	i stole a condom from my hostparents
767	i stole gushers from cvs	i stole gushers from cvs
768	i stole undies once	i stole undies once
769	i sucked dick in the closet at my job	i sucked dick in the closet at my job
770	i sucked my principals dick so that i would avoid expulsion	i sucked my principals dick so that i would avoid expulsion
771	I TELL PEOPLE THAT MY BROTHER SEXUALLY ABUSED ME BUT I THINK IT WAS ME THAT HURT HIM	I TELL PEOPLE THAT MY BROTHER SEXUALLY ABUSED ME BUT I THINK IT WAS ME THAT HURT HIM
772	i think im gorgeous	i think im gorgeous
773	I think my uncle is gay	I think my uncle is gay
774	I told my aunt that her ugly baby was cute	I told my aunt that her ugly baby was cute
